City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,maralal,1.0968,36.698,21.26,49,93,3.82,KE,1689174717
1,mar del plata,-38.0023,-57.5575,8.86,73,100,8.05,AR,1689174599
2,as sulayyil,20.4607,45.5779,42.71,9,31,5.13,SA,1689174717
3,haiku-pauwela,20.9219,-156.3051,25.02,75,0,2.57,US,1689174717
4,vila franca do campo,37.7167,-25.4333,23.23,83,89,8.77,PT,1689174717
5,port-aux-francais,-49.35,70.2167,3.82,74,100,9.45,TF,1689174718
6,san patricio,28.017,-97.5169,33.26,58,50,6.18,US,1689174718
7,carnarvon,-24.8667,113.6333,18.19,80,0,6.91,AU,1689174652
8,chibougamau,49.9168,-74.3659,17.34,49,94,2.95,CA,1689174582
9,tadine,-21.55,167.8833,19.71,58,8,6.93,NC,1689174718
10,aasiaat,68.7098,-52.8699,4.24,96,100,4.26,GL,1689174718
11,banepa,27.6298,85.5214,23.4,88,75,1.03,NP,1689174718
12,ribeira grande,38.5167,-28.7,22.22,94,75,9.83,PT,1689174719
13,hawaiian paradise park,19.5933,-154.9731,22.8,95,100,1.54,US,1689174719
14,hithadhoo,-0.6,73.0833,28.56,72,100,3.87,MV,1689174719
15,el matama,16.7095,33.3565,39.97,13,97,2.65,SD,1689174719
16,pangkalanbuun,-2.6833,111.6167,23.51,91,80,0.72,ID,1689174719
17,adamstown,-25.066,-130.1015,21.17,68,22,3.81,PN,1689174484
18,shindand,33.3029,62.1474,34.64,6,0,15.33,AF,1689174720
19,edinburgh of the seven seas,-37.0676,-12.3116,14.07,91,74,5.79,SH,1689174720
20,wailua homesteads,22.0669,-159.378,26.44,85,75,6.17,US,1689174720
21,bredasdorp,-34.5322,20.0403,13.39,73,0,2.27,ZA,1689174720
22,port augusta,-32.5,137.7667,9.12,66,1,2.25,AU,1689174720
23,olonkinbyen,70.9221,-8.7187,4.01,93,99,8.37,SJ,1689174721
24,cabedelo,-6.9811,-34.8339,29.37,74,32,6.79,BR,1689174721
25,minas de marcona,-15.2119,-75.1103,14.58,76,82,7.32,PE,1689174721
26,isafjordur,66.0755,-23.124,12.02,50,75,6.17,IS,1689174721
27,jiuquan,39.7432,98.5174,20.29,41,100,2.71,CN,1689174721
28,ancud,-41.8697,-73.8203,5.82,80,7,1.36,CL,1689174722
29,san antonio de pale,-1.4014,5.6325,23.5,86,0,4.96,GQ,1689174722
30,grytviken,-54.2811,-36.5092,-4.84,81,21,2.16,GS,1689174722
31,tekkali,18.6167,84.2333,28.56,81,48,1.67,IN,1689174722
32,san sebastian de la gomera,28.0916,-17.1133,31.88,54,0,5.14,ES,1689174722
33,petropavlovsk-kamchatsky,53.0452,158.6483,7.1,93,29,4.45,RU,1689174722
34,fale old settlement,-9.3852,-171.2468,28.5,75,80,5.83,TK,1689174723
35,taro,-8.3862,115.28,23.0,96,72,0.65,ID,1689174723
36,sakaiminato,35.55,133.2333,24.56,89,93,5.77,JP,1689174723
37,nova sintra,14.8667,-24.7167,21.76,74,99,4.32,CV,1689174723
38,rio gallegos,-51.6226,-69.2181,0.03,80,20,3.6,AR,1689174724
39,yellowknife,62.456,-114.3525,19.2,48,20,2.68,CA,1689174481
40,jamestown,42.097,-79.2353,22.79,92,100,0.89,US,1689174724
41,gunnedah,-30.9833,150.25,7.83,69,2,1.51,AU,1689174724
42,wenchang,30.904,118.4887,29.25,70,100,2.05,CN,1689174724
43,waitangi,-43.9535,-176.5597,7.68,93,100,4.92,NZ,1689174725
44,ust'-ilimsk,58.0006,102.6619,14.0,52,5,0.89,RU,1689174725
45,monte patria,-30.6919,-70.9467,14.44,57,22,0.77,CL,1689174725
46,puerto natales,-51.7236,-72.4875,-2.75,86,75,1.54,CL,1689174431
47,xam nua,20.4197,104.0439,21.76,80,23,1.38,LA,1689174725
48,bethel,41.3712,-73.414,30.86,64,0,4.12,US,1689174725
49,mejit,10.2753,170.8646,28.07,79,11,6.54,MH,1689174726
50,kelibia,36.8476,11.0939,31.14,74,0,3.6,TN,1689174726
51,peniche,39.3558,-9.3811,26.16,71,95,6.47,PT,1689174726
52,washington court house,39.5364,-83.4391,28.55,63,0,4.12,US,1689174726
53,margaret river,-33.95,115.0667,17.06,79,100,11.11,AU,1689174726
54,iskateley,67.6803,53.1512,11.52,60,99,6.97,RU,1689174727
55,zaozersk,69.4005,32.4476,22.77,47,40,5.19,RU,1689174727
56,machali,-34.1833,-70.6667,8.6,93,75,2.57,CL,1689174727
57,vadso,70.0744,29.7487,28.49,49,0,6.17,NO,1689174727
58,jammalamadugu,14.8333,78.4,31.94,47,100,4.73,IN,1689174727
59,chernyshevsk,52.5243,117.0174,17.97,78,1,1.99,RU,1689174697
60,zyryanovsk,49.7386,84.2719,22.1,56,1,2.9,KZ,1689174728
61,punta arenas,-53.15,-70.9167,1.01,100,75,2.57,CL,1689174728
62,meadow lakes,61.6247,-149.6011,13.74,95,100,0.0,US,1689174626
63,fauske,67.2588,15.3918,21.64,51,100,6.2,NO,1689174728
64,miquelon,47.0975,-56.3814,14.0,94,64,8.5,PM,1689174728
65,kapa'a,22.0752,-159.319,27.18,85,75,6.17,US,1689174728
66,hamilton,39.1834,-84.5333,29.44,58,0,3.09,US,1689174586
67,bryan,30.6744,-96.37,32.61,64,40,7.2,US,1689174729
68,ushuaia,-54.8,-68.3,3.81,56,20,3.6,AR,1689174729
69,georgetown,5.4112,100.3354,29.02,90,20,0.0,MY,1689174504
70,mitu,1.1983,-70.1733,26.7,88,46,0.17,CO,1689174729
71,chillicothe,39.3331,-82.9824,28.84,60,0,1.54,US,1689174460
72,new norfolk,-42.7826,147.0587,14.72,83,100,3.78,AU,1689174729
73,lihue,21.9789,-159.3672,26.77,81,75,6.17,US,1689174730
74,albany,42.6001,-73.9662,28.77,67,66,0.45,US,1689174730
75,bubaque,11.2833,-15.8333,27.08,75,100,1.4,GW,1689174730
76,mallow,52.1333,-8.6333,17.5,73,68,4.75,IE,1689174730
77,college,64.8569,-147.8028,14.21,92,100,3.09,US,1689174730
78,longyearbyen,78.2186,15.6401,9.91,76,75,2.57,SJ,1689174730
79,lebu,-37.6167,-73.65,9.7,61,87,1.17,CL,1689174731
80,horki,54.2861,30.9842,19.46,55,43,4.36,BY,1689174731
81,ataq,14.5377,46.8319,33.35,29,45,4.26,YE,1689174731
82,talnakh,69.4865,88.3972,4.56,69,100,6.54,RU,1689174731
83,knyaze-volkonskoye,48.4642,135.4567,16.19,84,100,2.25,RU,1689174731
84,ust'-kut,56.7938,105.7672,11.95,91,23,1.26,RU,1689174731
85,atafu village,-8.5421,-172.5159,28.5,74,94,5.72,TK,1689174732
86,blackmans bay,-43.0167,147.3167,14.07,79,100,3.46,AU,1689174732
87,tiksi,71.6872,128.8694,3.53,96,100,3.19,RU,1689174732
88,whitehorse,60.7161,-135.0538,11.68,67,75,3.6,CA,1689174732
89,huarmey,-10.0681,-78.1522,22.08,74,69,3.92,PE,1689174732
90,hotan,37.0997,79.9269,27.82,25,11,2.79,CN,1689174733
91,qamdo,31.1667,97.2333,12.59,54,93,1.35,CN,1689174733
92,tolanaro,-25.0319,46.9987,17.73,71,80,3.39,MG,1689174733
93,blagoveshchensk,50.2667,127.5333,18.47,57,77,2.23,RU,1689174471
94,le port,-20.9373,55.2919,22.98,94,26,2.12,RE,1689174733
95,aroma,15.8167,36.1333,38.06,21,35,2.76,SD,1689174733
96,sumenep,-7.0167,113.8667,25.95,69,78,1.73,ID,1689174734
97,al hasakah,36.5024,40.7477,38.54,9,0,6.67,SY,1689174734
98,stephenville,32.2207,-98.2023,32.36,45,0,5.66,US,1689174734
99,shenjiamen,29.9576,122.298,25.41,92,38,11.58,CN,1689174734
100,puerto ayora,-0.7393,-90.3518,25.86,93,95,3.58,EC,1689174734
101,west island,-12.1568,96.8225,25.99,94,75,5.66,CC,1689174734
102,yulinshi,38.2906,109.7494,21.8,72,98,8.81,CN,1689174735
103,naberera,-4.2,36.9333,19.73,57,77,7.17,TZ,1689174735
104,escarcega,18.6089,-90.7454,31.36,53,22,3.51,MX,1689174735
105,mana,5.6592,-53.7767,26.67,84,85,2.95,GF,1689174735
106,brokopondo,4.75,-55.1667,28.5,67,9,1.45,SR,1689174735
107,scottburgh,-30.2867,30.7532,16.83,66,0,1.97,ZA,1689174735
108,zakynthos,37.7914,20.8953,33.62,40,0,3.6,GR,1689174631
109,kapuskasing,49.4169,-82.4331,20.05,52,75,3.6,CA,1689174736
110,tsiombe,-25.3,45.4833,18.92,50,98,3.99,MG,1689174736
111,iqaluit,63.7506,-68.5145,8.72,93,75,7.2,CA,1689174736
112,muynoq,43.7683,59.0214,31.39,33,47,6.4,UZ,1689174736
113,alvinopolis,-20.1067,-43.0489,29.48,36,1,2.11,BR,1689174736
114,ust-nera,64.5667,143.2,19.27,60,93,3.08,RU,1689174737
115,guangshui,31.6199,113.9978,29.05,78,100,1.97,CN,1689174737
116,anadyr,64.75,177.4833,12.28,93,75,4.0,RU,1689174738
117,south hedland,-20.4089,118.5983,17.96,68,0,2.06,AU,1689174739
118,castillos,-34.1667,-53.8333,14.4,64,91,7.17,UY,1689174740
119,upper grand lagoon,30.1633,-85.7408,32.81,76,20,6.69,US,1689174741
120,stanley,54.868,-1.6985,19.73,65,20,7.2,GB,1689174449
121,vilyuchinsk,52.9306,158.4028,7.92,82,0,3.81,RU,1689174743
122,huancavelica,-12.7667,-74.9833,9.43,38,6,2.07,PE,1689174744
123,khorugh,37.4897,71.553,25.27,22,0,3.1,TJ,1689174744
124,sejenane,37.0572,9.2381,39.53,21,1,4.8,TN,1689174745
125,vorgashor,67.5833,63.95,14.22,54,0,3.54,RU,1689174747
126,okondja,-0.6549,13.6753,29.07,55,100,0.41,GA,1689174749
127,papatowai,-46.5619,169.4708,5.39,95,100,5.12,NZ,1689174749
128,klyuchi,52.2667,79.1667,26.52,46,35,4.98,RU,1689174750
129,palmares do sul,-30.2578,-50.5097,16.59,96,100,7.32,BR,1689174750
130,rio grande,-32.035,-52.0986,15.06,88,100,11.25,BR,1689174750
131,sierra grande,-41.606,-65.3557,5.96,72,99,2.08,AR,1689174750
132,jijel,36.8205,5.7667,34.97,34,20,2.57,DZ,1689174751
133,silkeborg,56.1697,9.5451,20.93,60,52,7.42,DK,1689174752
134,zhanibek,49.4167,46.85,23.55,38,88,3.8,KZ,1689174752
135,thompson,55.7435,-97.8558,15.09,88,75,1.54,CA,1689174753
136,bilibino,68.0546,166.4372,14.19,63,88,1.12,RU,1689174753
137,corn island,12.1694,-83.0418,27.77,84,98,7.73,NI,1689174753
138,fasa,28.9383,53.6482,37.46,10,0,2.67,IR,1689174753
139,vernon,50.2581,-119.2691,21.27,74,99,1.79,CA,1689174614
140,homer,59.6425,-151.5483,13.21,96,100,1.79,US,1689174458
141,madang,-5.2246,145.7966,25.81,90,100,1.01,PG,1689174754
142,orapa,-21.2833,25.3667,15.72,39,5,8.39,BW,1689174754
143,saint john,45.2727,-66.0677,25.57,69,0,1.54,CA,1689174754
144,bereket,39.2446,55.5154,36.64,26,0,2.94,TM,1689174755
145,bokoro,12.3807,17.0568,36.11,34,80,5.95,TD,1689174755
146,nagqu,31.5,92.0,7.17,92,100,1.68,CN,1689174755
147,baki,-7.6128,110.7839,22.63,75,80,3.62,ID,1689174755
148,nezhinka,51.7676,55.3694,25.11,33,20,8.05,RU,1689174755
149,yalta,44.5,34.1667,25.29,55,0,3.13,UA,1689174756
150,crane,31.3974,-102.3501,31.35,36,22,7.96,US,1689174756
151,beroroha,-21.6667,45.1667,24.08,44,62,5.17,MG,1689174756
152,ilulissat,69.2167,-51.1,10.01,71,40,1.03,GL,1689174756
153,beau vallon,-20.4189,57.6953,22.13,83,20,2.57,MU,1689174756
154,vikhorevka,56.1201,101.1636,15.77,89,1,1.12,RU,1689174756
155,quincy,42.2529,-71.0023,32.68,54,20,3.09,US,1689174635
156,lompoc,34.6391,-120.4579,14.08,100,100,0.0,US,1689174718
157,bandarbeyla,9.4942,50.8122,24.61,80,1,14.02,SO,1689174757
158,makoua,0.0069,15.6333,33.36,39,90,0.73,CG,1689174698
159,weno,7.4515,151.8468,26.97,89,100,0.0,FM,1689174757
160,thunder bay,48.4001,-89.3168,18.99,63,75,1.03,CA,1689174757
161,plymouth,41.8334,-70.8328,33.22,64,0,1.54,US,1689174473
162,tomakomai,42.6369,141.6033,20.65,100,75,4.63,JP,1689174757
163,klaksvik,62.2266,-6.589,10.51,98,100,8.14,FO,1689174758
164,mangrol,21.1167,70.1167,28.32,82,100,5.35,IN,1689174758
165,san andres,12.5847,-81.7006,31.01,74,40,7.2,CO,1689174758
166,oyama,36.3,139.8,32.55,59,100,0.79,JP,1689174758
167,ciudad bolivar,8.1222,-63.5497,31.26,53,62,3.6,VE,1689174758
168,douarnenez,48.0954,-4.329,20.45,68,75,6.17,FR,1689174758
169,port mathurin,-19.6833,63.4167,23.69,77,13,5.11,MU,1689174758
170,nikologory,56.1413,41.9922,12.37,75,100,4.39,RU,1689174758
171,badger,64.8,-147.5333,14.17,93,100,3.09,US,1689174759
172,karasburg,-28.0167,18.75,17.67,16,1,7.73,NA,1689174759
173,hermanus,-34.4187,19.2345,17.67,63,0,2.03,ZA,1689174759
174,kerikeri,-35.2268,173.9474,9.39,93,100,0.45,NZ,1689174759
175,jequitinhonha,-16.4339,-41.0033,31.68,33,0,2.48,BR,1689174476
176,geraldton,-28.7667,114.6,9.23,93,0,2.06,AU,1689174759
177,sao tome,0.3365,6.7273,25.39,79,30,5.45,ST,1689174760
178,malanje,-9.5402,16.341,27.61,16,0,2.84,AO,1689174760
179,mirny,62.5353,113.9611,14.02,76,85,4.02,RU,1689174760
180,sungailiat,-1.85,106.1333,26.96,78,83,3.63,ID,1689174761
181,utrik,11.2278,169.8474,28.0,80,18,6.43,MH,1689174761
182,dunedin,-45.8742,170.5036,7.11,72,84,4.02,NZ,1689174598
183,corinto,37.9407,22.9573,31.61,25,0,1.63,GR,1689174761
184,garachico,28.7781,-17.7646,25.06,69,0,7.2,ES,1689174762
185,prince rupert,54.3161,-130.3201,12.9,70,100,0.85,CA,1689174588
186,fort bragg,35.139,-79.006,32.68,71,40,0.45,US,1689174630
187,kyren,51.6828,102.1408,16.86,96,90,1.9,RU,1689174763
188,lata,40.1629,-8.3327,29.16,45,97,5.34,PT,1689174763
189,podgornoye,51.735,39.1496,18.12,45,0,5.0,RU,1689174763
190,arcachon,44.5875,-1.0519,26.34,60,75,4.63,FR,1689174763
191,pirallahi,40.4723,50.333,26.08,65,0,3.63,AZ,1689174764
192,novyy urengoy,66.0833,76.6333,12.77,51,35,5.24,RU,1689174764
193,champerico,14.3,-91.9167,31.3,77,99,1.99,GT,1689174764
194,alofi,-19.0595,-169.9187,22.94,100,53,2.57,NU,1689174764
195,nouadhibou,20.931,-17.0347,28.99,58,1,3.09,MR,1689174764
196,sterling,39.0062,-77.4286,32.21,51,0,2.06,US,1689174642
197,rafsanjan,30.4067,55.9939,35.19,6,0,8.59,IR,1689174765
198,general cabrera,-32.8131,-63.8724,6.68,92,100,3.94,AR,1689174765
199,comodoro rivadavia,-45.8667,-67.5,3.92,70,75,1.54,AR,1689174765
200,dol-de-bretagne,48.5476,-1.7502,21.63,62,79,5.88,FR,1689174765
201,kodiak,57.79,-152.4072,11.73,87,100,2.06,US,1689174621
202,stutterheim,-32.5708,27.424,12.76,51,0,1.41,ZA,1689174765
203,oranjemund,-28.55,16.4333,22.98,22,1,4.53,NA,1689174766
204,avarua,-21.2078,-159.775,24.03,88,75,2.57,CK,1689174766
205,gillette,44.2911,-105.5022,22.28,56,0,3.6,US,1689174550
206,qaqortoq,60.7167,-46.0333,8.05,86,31,3.18,GL,1689174766
207,port lincoln,-34.7333,135.8667,11.8,66,59,5.0,AU,1689174766
208,constantia,44.1833,28.65,28.38,60,4,6.57,RO,1689174703
209,uturoa,-16.7333,-151.4333,26.52,70,5,10.35,PF,1689174767
210,christchurch,-43.5333,172.6333,2.19,87,12,0.0,NZ,1689174257
211,chateaubelair,13.2833,-61.25,27.63,77,78,5.6,VC,1689174767
212,sampit,-2.5333,112.95,22.9,88,67,1.34,ID,1689174767
213,invercargill,-46.4,168.35,5.64,95,100,3.57,NZ,1689174767
214,smara,26.7384,-11.6719,47.93,5,13,4.74,EH,1689174767
215,diu,20.7141,70.9822,27.82,81,100,4.8,IN,1689174768
216,kailua-kona,19.6406,-155.9956,23.98,83,0,2.68,US,1689174726
217,kokemaki,61.2565,22.3564,20.88,35,56,0.59,FI,1689174768
218,carupano,10.6678,-63.2585,30.08,65,89,4.43,VE,1689174768
219,nar'yan-mar,67.6713,53.087,11.58,60,100,6.99,RU,1689174768
220,kuching,1.55,110.3333,28.34,93,40,0.0,MY,1689174768
221,udachny,66.4167,112.4,11.36,81,55,4.51,RU,1689174769
222,asosa,10.0667,34.5333,20.59,88,41,0.8,ET,1689174769
223,st. john's,47.5649,-52.7093,19.2,87,75,4.12,CA,1689174730
224,chanute,37.6792,-95.4572,29.69,70,0,6.69,US,1689174497
225,adi keyh,14.8444,39.3772,22.9,39,61,2.79,ER,1689174769
226,saipan,15.1355,145.701,28.39,100,40,4.63,MP,1689174493
227,hasaki,35.7333,140.8333,27.22,79,100,5.72,JP,1689174769
228,swift current,50.2834,-107.8014,16.45,88,0,1.54,CA,1689174770
229,ma'an,26.9775,110.7211,26.98,77,100,2.71,CN,1689174770
230,dudinka,69.4058,86.1778,4.79,60,100,6.87,RU,1689174770
231,shuangjiang,26.1547,109.7138,23.89,92,39,2.47,CN,1689174770
232,syktyvkar,61.6764,50.8099,24.85,73,40,6.0,RU,1689174671
233,ndioum,16.5129,-14.6471,38.6,30,20,4.72,SN,1689174770
234,mournies,35.4764,24.0092,31.22,48,0,2.57,GR,1689174770
235,perry,37.2506,-83.1999,26.4,48,1,0.19,US,1689174661
236,khandyga,62.6667,135.6,17.24,97,99,0.8,RU,1689174771
237,tommot,58.9564,126.2925,17.09,95,100,1.54,RU,1689174771
238,hungnam,39.8317,127.6186,21.2,90,94,0.68,KP,1689174771
239,colonia,50.9333,6.95,27.2,36,0,6.69,DE,1689174562
240,kirkwall,58.9848,-2.9587,14.03,88,75,6.69,GB,1689174771
241,kayangel,8.0823,134.7173,28.49,75,100,4.98,PW,1689174771
242,rundu,-17.9333,19.7667,19.94,20,0,4.77,NA,1689174771
243,north battleford,52.7834,-108.2847,16.34,46,25,2.35,CA,1689174541
244,east london,-33.0153,27.9116,15.52,82,0,1.54,ZA,1689174772
245,kangding,30.0513,101.9603,17.62,98,100,1.27,CN,1689174772
246,taiyuan,37.8694,112.5603,23.92,73,40,6.0,CN,1689174508
247,nuuk,64.1835,-51.7216,18.34,63,20,7.72,GL,1689174772
248,inarajan village,13.2736,144.7484,27.08,97,100,4.8,GU,1689174772
249,huamuxtitlan,17.8167,-98.5667,23.12,77,100,0.99,MX,1689174772
250,prieska,-29.6641,22.7474,17.39,20,0,1.14,ZA,1689174773
251,papao,-17.75,-149.55,23.82,71,5,10.47,PF,1689174773
252,sisimiut,66.9395,-53.6735,13.26,74,100,2.63,GL,1689174773
253,simdega,22.6167,84.5167,28.23,72,100,3.27,IN,1689174773
254,cabo san lucas,22.8909,-109.9124,29.23,81,75,3.09,MX,1689174628
255,sumbe,-11.2061,13.8437,23.29,76,20,3.68,AO,1689174773
256,arraial do cabo,-22.9661,-42.0278,25.92,73,0,3.6,BR,1689174773
257,kolonia town,6.964,158.206,26.0,94,20,0.0,FM,1689174774
258,vilyuysk,63.7553,121.6247,11.25,88,90,3.39,RU,1689174774
259,bama,11.5221,13.6856,36.68,29,79,2.95,NG,1689174774
260,arkhangel'sk,64.5401,40.5433,12.7,79,100,5.12,RU,1689174774
261,yaren,-0.5472,166.916,28.41,74,72,3.56,NR,1689174779
262,katsuura,35.1333,140.3,26.01,87,100,10.05,JP,1689174779
263,wagoner,35.9595,-95.3694,30.77,88,0,4.58,US,1689174780
264,alice springs,-23.7,133.8833,3.75,81,0,3.53,AU,1689174780
265,port elizabeth,-33.918,25.5701,16.72,77,0,2.06,ZA,1689174780
266,melfort,52.8667,-104.6177,18.07,55,49,3.09,CA,1689174669
267,nyala,12.05,24.8833,24.64,68,100,3.84,SD,1689174780
268,antsiranana,-12.2787,49.2917,23.66,77,6,6.14,MG,1689174780
269,emerald,-23.5333,148.1667,14.17,73,0,3.32,AU,1689174484
270,selfoss,63.9331,-20.9971,16.14,55,95,3.98,IS,1689174781
271,smithers,54.7804,-127.1743,13.18,62,20,1.54,CA,1689174781
272,aweil,8.7682,27.4002,30.06,57,97,2.59,SS,1689174781
273,akhisar,38.9185,27.8401,36.84,23,0,4.12,TR,1689174781
274,thinadhoo,0.5333,72.9333,28.16,75,100,3.57,MV,1689174781
275,ashington,50.9331,-0.3909,21.14,64,40,11.32,GB,1689174781
276,arvayheer,46.2639,102.775,10.11,88,68,3.16,MN,1689174782
277,billund,55.7335,9.1078,20.38,68,40,7.72,DK,1689174782
278,dabou,5.3256,-4.3769,25.8,84,92,4.23,CI,1689174782
279,labrador city,52.9463,-66.9114,16.95,82,100,3.09,CA,1689174782
280,poyang,28.9924,116.6675,29.89,62,100,3.5,CN,1689174782
281,vidalia,32.2177,-82.4135,31.97,58,0,0.0,US,1689174782
282,novyy rogachik,48.6768,44.0608,24.5,46,95,5.86,RU,1689174783
283,rmi capitol,7.0893,171.3805,27.97,83,75,1.54,MH,1689174783
284,tahla,34.0485,-4.428,41.08,15,7,5.71,MA,1689174783
285,saudarkrokur,65.7461,-19.6394,7.84,73,100,8.94,IS,1689174784
286,quellon,-43.1167,-73.6167,4.14,100,0,1.03,CL,1689174784
287,tazovsky,67.4667,78.7,7.22,55,8,4.39,RU,1689174784
288,les avirons,-21.2418,55.3394,21.03,68,0,2.06,RE,1689174785
289,korla,41.7597,86.1469,28.14,33,0,1.62,CN,1689174785
290,sao joao da barra,-21.6403,-41.0511,28.05,74,19,3.18,BR,1689174683
291,konarka,19.9,86.1167,29.22,79,87,3.43,IN,1689174786
292,sretensk,52.2453,117.7093,16.84,92,29,1.05,RU,1689174787
293,al qubbah,32.7616,22.2424,25.97,41,0,6.31,LY,1689174787
294,leesburg,39.1157,-77.5636,32.12,56,0,2.06,US,1689174661
295,bardai,11.65,7.2333,34.17,32,56,4.55,NG,1689174787
296,nahiyat al fuhud,30.9697,46.7228,42.98,7,0,10.26,IQ,1689174788
